cap-shape,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat,class
x,n,t,a,f,c,b,n,e,r,s,y,w,w,o,p,k,s,p,e
f,y,t,a,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d,e
f,n,f,n,f,w,n,w,e,b,f,f,w,n,o,e,w,v,l,e
x,g,t,n,f,c,b,u,t,b,s,s,w,p,o,p,n,y,d,e
f,e,f,f,f,c,n,b,t,?,k,s,w,w,o,e,w,v,d,p
f,y,f,f,f,c,b,g,e,b,k,k,p,n,o,l,h,y,g,p
x,g,f,n,f,w,b,w,e,?,k,s,w,w,t,p,w,n,g,e
b,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,n,g,e
x,g,f,f,f,c,b,h,e,b,k,k,p,n,o,l,h,y,d,p
f,n,f,n,a,c,b,y,e,?,s,s,o,o,o,p,b,c,l,e
x,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,s,g,e
x,g,f,f,f,c,b,p,e,b,k,k,n,b,o,l,h,v,p,p
b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m,e
k,n,f,m,a,c,b,w,e,c,k,y,c,c,n,n,w,c,d,p
f,g,t,n,f,c,b,w,t,b,s,s,p,g,o,p,n,y,d,e
x,w,f,n,f,w,b,p,e,?,k,k,w,w,t,p,w,s,g,e
f,g,f,f,f,c,b,h,e,b,k,k,p,n,o,l,h,y,d,p
f,g,f,n,f,w,b,n,t,e,f,f,w,w,o,e,k,a,g,e
f,b,t,f,f,c,b,p,t,b,s,f,w,w,o,p,h,v,u,p
x,n,f,f,f,c,n,b,t,?,k,s,p,w,o,e,w,v,p,p
x,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,s,m,e
f,g,f,f,f,c,b,h,e,b,k,k,b,b,o,l,h,y,d,p
k,e,f,y,f,c,n,b,t,?,k,k,p,w,o,e,w,v,p,p
k,e,f,y,f,c,n,b,t,?,s,s,p,w,o,e,w,v,l,p
f,n,f,y,f,c,n,b,t,?,s,k,p,p,o,e,w,v,p,p
x,y,f,f,f,c,b,p,e,b,k,k,p,p,o,l,h,v,p,p
f,y,f,f,f,c,b,p,e,b,k,k,n,p,o,l,h,y,d,p
f,n,f,y,f,c,n,b,t,?,s,k,w,w,o,e,w,v,l,p
x,g,f,f,f,c,b,p,e,b,k,k,n,p,o,l,h,y,d,p
b,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,s,m,e
x,g,t,n,f,c,b,u,t,b,s,s,p,p,o,p,n,y,d,e
x,g,t,f,f,c,b,h,t,b,f,s,w,w,o,p,h,s,g,p
k,n,f,n,a,c,b,o,e,?,s,s,o,o,o,p,n,v,l,e
s,g,f,n,f,c,n,n,e,e,s,s,w,w,o,p,k,y,u,e
f,y,f,f,f,c,b,p,e,b,k,k,p,b,o,l,h,v,g,p
f,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u,p
k,n,f,f,f,c,n,b,t,?,k,k,w,w,o,e,w,v,p,p
x,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,v,u,p
x,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,v,u,p
f,e,t,n,f,c,b,w,t,b,s,s,g,p,o,p,k,v,d,e
x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g,e
f,n,t,n,f,c,b,p,t,b,s,s,w,p,o,p,k,v,d,e
k,n,f,f,f,c,n,b,t,?,s,k,w,w,o,e,w,v,d,p
b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g,e
x,n,t,n,f,c,b,n,t,b,s,s,g,w,o,p,k,y,d,e
x,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,n,g,e
f,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,v,u,p
f,g,f,f,f,c,b,g,e,b,k,k,n,b,o,l,h,y,g,p
x,g,f,n,f,w,b,p,e,?,k,s,w,w,t,p,w,n,g,e
x,w,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g,e
x,e,t,n,f,c,b,u,t,b,s,s,w,w,o,p,k,v,d,e
x,e,f,y,f,c,n,b,t,?,k,k,p,p,o,e,w,v,d,p
x,e,t,n,f,c,b,n,t,b,s,s,w,g,o,p,n,y,d,e
f,w,t,f,f,c,b,p,t,b,s,s,w,w,o,p,h,s,u,p
x,y,f,f,f,c,b,g,e,b,k,k,p,b,o,l,h,y,d,p
f,w,f,n,f,w,b,h,t,e,s,f,w,w,o,e,k,s,g,e
b,b,t,n,f,c,b,r,e,b,s,s,w,w,t,p,r,v,m,p
f,n,t,n,f,c,b,p,t,b,s,s,g,g,o,p,n,v,d,e
x,g,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g,e
x,y,f,f,f,c,b,g,e,b,k,k,p,p,o,l,h,y,d,p
x,g,f,n,f,c,n,n,e,e,s,s,w,w,o,p,n,y,u,e
f,y,f,f,f,c,b,h,e,b,k,k,n,n,o,l,h,y,p,p
x,w,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,a,g,e
f,g,t,n,f,c,b,p,t,b,s,s,w,g,o,p,n,y,d,e
f,n,f,y,f,c,n,b,t,?,s,s,w,p,o,e,w,v,p,p
x,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,s,m,e
f,w,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,s,g,e
x,n,f,s,f,c,n,b,t,?,s,k,w,w,o,e,w,v,l,p
f,n,f,n,f,w,b,n,t,e,f,s,w,w,o,e,k,s,g,e
x,n,t,n,f,c,b,u,t,b,s,s,p,g,o,p,k,y,d,e
f,e,t,n,f,c,b,p,t,b,s,s,w,w,o,p,k,v,d,e
f,g,t,n,f,c,b,u,t,b,s,s,p,p,o,p,n,y,d,e
x,e,f,y,f,c,n,b,t,?,s,s,p,w,o,e,w,v,l,p
x,e,f,f,f,c,n,b,t,?,s,s,p,w,o,e,w,v,p,p
b,w,f,n,f,w,b,p,e,?,k,s,w,w,t,p,w,s,g,e
x,g,f,n,f,w,b,p,t,e,s,f,w,w,o,e,n,a,g,e
b,p,t,n,f,c,b,w,e,b,s,s,w,w,t,p,r,v,m,p
f,n,t,n,f,c,b,u,t,b,s,s,w,p,o,p,k,y,d,e
f,g,f,f,f,c,b,g,e,b,k,k,p,p,o,l,h,v,d,p
f,e,f,s,f,c,n,b,t,?,k,k,p,p,o,e,w,v,p,p
f,e,f,s,f,c,n,b,t,?,k,k,p,w,o,e,w,v,l,p
f,y,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,y,p,e
x,g,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g,e
x,e,t,n,f,c,b,p,t,b,s,s,g,w,o,p,k,y,d,e
f,n,t,n,f,c,b,u,t,b,s,s,w,g,o,p,n,v,d,e
x,g,f,n,f,w,b,h,t,e,s,f,w,w,o,e,n,s,g,e
f,g,t,f,f,c,b,p,t,b,f,s,w,w,o,p,h,v,u,p
f,e,t,n,f,c,b,w,t,b,s,s,w,w,o,p,n,y,d,e
x,e,t,n,f,c,b,p,t,b,s,s,p,w,o,p,k,y,d,e
x,g,f,f,f,c,b,h,e,b,k,k,b,b,o,l,h,v,d,p
x,n,f,m,a,c,b,w,e,c,k,y,c,c,n,n,w,c,d,p
f,e,f,s,f,c,n,b,t,?,s,s,p,p,o,e,w,v,p,p
x,y,f,f,f,c,b,p,e,b,k,k,p,p,o,l,h,y,p,p
b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m,e
k,g,f,n,f,w,b,w,e,?,s,k,w,w,t,p,w,s,g,e
k,e,f,y,f,c,n,b,t,?,s,k,w,w,o,e,w,v,l,p
f,n,t,n,f,c,b,n,t,b,s,s,w,w,o,p,n,v,d,e
f,w,f,n,f,w,b,h,t,e,f,f,w,w,o,e,n,a,g,e
x,n,f,n,f,w,n,w,e,b,s,f,w,n,o,e,w,v,l,e
x,u,f,n,f,c,n,h,e,?,s,f,w,w,o,f,h,y,d,e
x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g,e
x,g,f,n,f,c,n,p,e,e,s,s,w,w,o,p,k,v,u,e
f,e,f,y,f,c,n,b,t,?,s,s,p,p,o,e,w,v,l,p
x,g,f,f,f,c,b,g,e,b,k,k,p,p,o,l,h,v,g,p
x,n,f,f,f,c,n,b,t,?,k,s,w,w,o,e,w,v,l,p
f,g,t,n,f,c,b,u,t,b,s,s,w,p,o,p,n,v,d,e
x,e,t,n,f,c,b,u,t,b,s,s,g,g,o,p,n,y,d,e
f,y,f,f,f,c,b,g,e,b,k,k,n,n,o,l,h,v,p,p
x,n,t,n,f,c,b,p,t,b,s,s,g,w,o,p,k,v,d,e
x,w,f,n,f,w,b,h,t,e,f,s,w,w,o,e,n,a,g,e
k,p,t,n,f,c,b,e,e,?,s,s,e,w,t,e,w,c,w,e
k,e,f,f,f,c,n,b,t,?,k,s,p,p,o,e,w,v,d,p
k,e,t,n,f,c,b,e,e,?,s,s,e,e,t,e,w,c,w,e
b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g,e
x,g,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g,e
x,y,f,f,f,c,b,g,e,b,k,k,p,b,o,l,h,y,d,p
x,y,f,f,f,c,b,g,e,b,k,k,b,b,o,l,h,v,g,p
x,y,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d,e
x,n,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g,e
x,g,f,f,f,c,b,h,e,b,k,k,n,p,o,l,h,v,g,p
k,n,f,f,f,c,n,b,t,?,s,s,p,w,o,e,w,v,d,p
f,e,t,n,f,c,b,u,t,b,s,s,g,g,o,p,k,y,d,e
f,g,f,f,f,c,b,g,e,b,k,k,b,p,o,l,h,v,p,p
k,n,f,y,f,c,n,b,t,?,k,k,w,w,o,e,w,v,p,p
f,n,f,y,f,c,n,b,t,?,k,s,p,p,o,e,w,v,p,p
f,g,f,f,f,c,b,g,e,b,k,k,b,b,o,l,h,y,p,p
x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,n,m,e
x,e,f,y,f,c,n,b,t,?,k,s,p,w,o,e,w,v,d,p
f,y,f,f,f,c,b,p,e,b,k,k,b,p,o,l,h,y,d,p
f,y,f,f,f,c,b,g,e,b,k,k,p,b,o,l,h,y,d,p
x,g,t,n,f,c,b,n,t,b,s,s,w,w,o,p,n,v,d,e
x,y,t,l,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d,e
f,g,t,n,f,c,b,u,t,b,s,s,p,g,o,p,k,y,d,e
x,n,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,a,g,e
f,e,t,n,f,c,b,u,t,b,s,s,w,p,o,p,n,y,d,e
x,n,t,n,f,c,b,w,t,b,s,s,w,g,o,p,k,v,d,e
x,g,f,f,f,c,b,g,e,b,k,k,n,p,o,l,h,v,g,p
b,w,f,n,f,w,b,w,e,?,k,s,w,w,t,p,w,s,g,e
k,e,f,f,f,c,n,b,t,?,s,k,p,p,o,e,w,v,l,p
f,w,f,n,f,c,n,w,e,?,s,f,w,w,o,f,h,v,d,e
x,g,f,c,f,c,n,p,e,b,s,s,w,w,o,p,n,s,d,p
f,b,t,f,f,c,b,w,t,b,s,s,w,w,o,p,h,v,g,p
f,e,t,n,f,c,b,n,t,b,s,s,p,p,o,p,k,y,d,e
b,p,t,n,f,c,b,g,e,b,s,s,w,w,t,p,r,v,g,p
x,g,t,f,f,c,b,h,t,b,s,f,w,w,o,p,h,v,g,p
f,n,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,v,u,p
f,r,f,n,f,c,n,p,e,?,s,f,w,w,o,f,h,v,d,e
f,n,t,n,f,c,b,w,t,b,s,s,p,p,o,p,n,v,d,e
x,g,f,f,f,c,b,p,e,b,k,k,n,p,o,l,h,v,p,p
f,n,t,n,f,c,b,e,e,?,s,s,w,e,t,e,w,c,w,e
k,w,f,n,f,w,b,p,e,?,k,s,w,w,t,p,w,n,g,e
f,g,f,f,f,c,b,h,e,b,k,k,b,p,o,l,h,v,p,p
f,e,t,n,f,c,b,n,t,b,s,s,w,w,o,p,k,y,d,e
x,n,t,n,f,c,b,n,t,b,s,s,p,g,o,p,k,v,d,e
x,n,f,n,a,c,b,o,e,?,s,s,o,o,o,p,b,v,l,e
f,n,f,y,f,c,n,b,t,?,s,s,p,p,o,e,w,v,l,p
x,g,f,f,f,c,b,h,e,b,k,k,p,n,o,l,h,y,g,p
f,n,f,s,f,c,n,b,t,?,s,s,p,p,o,e,w,v,l,p
f,n,t,l,f,c,b,p,e,r,s,y,w,w,o,p,k,y,p,e
b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,s,g,e
f,y,f,f,f,c,b,p,e,b,k,k,p,b,o,l,h,v,p,p
k,e,f,y,f,c,n,b,t,?,k,k,w,p,o,e,w,v,l,p
f,g,f,f,f,c,b,p,e,b,k,k,p,p,o,l,h,y,g,p
x,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m,e
f,n,t,n,f,c,b,n,t,b,s,s,p,w,o,p,k,v,d,e
f,w,t,a,f,w,n,w,t,b,s,s,w,w,o,p,u,v,d,e
x,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m,e
f,g,t,n,f,c,b,p,t,b,s,s,g,w,o,p,n,y,d,e
x,y,f,f,f,c,b,p,e,b,k,k,b,p,o,l,h,y,d,p
f,n,t,a,f,c,b,p,e,r,s,y,w,w,o,p,n,y,g,e
k,n,f,s,f,c,n,b,t,?,k,k,p,p,o,e,w,v,p,p
x,w,t,f,f,c,b,h,t,b,s,s,w,w,o,p,h,s,u,p
f,e,f,s,f,c,n,b,t,?,s,k,w,w,o,e,w,v,p,p
f,g,t,n,f,c,b,w,t,b,s,s,g,w,o,p,k,v,d,e
f,e,f,f,f,c,n,b,t,?,k,k,p,p,o,e,w,v,d,p
x,e,t,n,f,c,b,p,t,b,s,s,p,w,o,p,n,v,d,e
b,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g,e
f,w,t,f,f,c,b,w,t,b,f,f,w,w,o,p,h,v,u,p
f,e,t,n,f,c,b,u,t,b,s,s,w,p,o,p,n,y,d,e
f,n,t,n,f,c,b,p,t,b,s,s,w,w,o,p,k,y,d,e
x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,s,u,p
k,n,f,y,f,c,n,b,t,?,s,s,w,p,o,e,w,v,p,p
k,e,f,f,f,c,n,b,t,?,s,k,p,w,o,e,w,v,l,p
f,g,t,n,f,c,b,u,t,b,s,s,w,p,o,p,k,y,d,e
k,n,f,s,f,c,n,b,t,?,s,k,p,p,o,e,w,v,l,p
x,n,f,f,f,c,n,b,t,?,k,s,p,p,o,e,w,v,p,p
x,n,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,y,g,e
k,n,f,n,a,c,b,o,e,?,s,s,o,o,o,p,y,v,l,e
f,e,f,s,f,c,n,b,t,?,s,k,w,p,o,e,w,v,p,p
f,e,f,s,f,c,n,b,t,?,k,k,w,w,o,e,w,v,l,p
f,e,t,n,f,c,b,p,t,b,s,s,p,w,o,p,k,y,d,e
x,w,f,n,f,w,b,p,t,e,s,s,w,w,o,e,n,s,g,e
x,e,t,n,f,c,b,w,t,b,s,s,p,g,o,p,n,v,d,e
b,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,n,g,e
f,g,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g,e
k,e,f,s,f,c,n,b,t,?,k,k,p,p,o,e,w,v,p,p
x,n,f,y,f,c,n,b,t,?,k,s,w,w,o,e,w,v,l,p
x,n,t,n,f,c,b,u,t,b,s,s,p,w,o,p,n,v,d,e
x,g,t,n,f,c,b,n,t,b,s,s,g,g,o,p,n,y,d,e
b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g,e
f,e,t,n,f,c,b,p,t,b,s,s,p,p,o,p,n,y,d,e
f,n,t,n,f,c,b,p,t,b,s,s,g,g,o,p,k,v,d,e
f,g,t,n,f,c,b,p,t,b,s,s,g,w,o,p,k,y,d,e
f,y,t,l,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d,e
f,n,f,f,f,c,n,b,t,?,s,s,w,w,o,e,w,v,d,p
f,g,t,n,f,c,b,u,t,b,s,s,g,p,o,p,k,y,d,e
k,e,f,y,f,c,n,b,t,?,s,k,w,w,o,e,w,v,p,p
f,n,f,s,f,c,n,b,t,?,k,s,p,p,o,e,w,v,l,p
b,n,f,n,a,c,b,y,e,?,s,s,o,o,o,p,y,c,l,e
f,y,f,f,f,c,b,g,e,b,k,k,b,n,o,l,h,v,d,p
x,y,f,f,f,c,b,g,e,b,k,k,n,n,o,l,h,y,d,p
f,g,t,n,f,c,b,u,t,b,s,s,p,g,o,p,n,y,d,e
f,u,f,n,f,c,n,u,e,?,s,f,w,w,o,f,h,v,d,e
f,g,t,n,f,c,b,p,t,b,s,s,g,p,o,p,k,v,d,e
x,n,f,f,f,c,n,b,t,?,k,k,p,w,o,e,w,v,p,p
k,n,f,s,f,c,n,b,t,?,k,s,w,p,o,e,w,v,d,p
b,w,t,n,f,w,n,w,e,b,s,s,w,w,o,p,w,c,l,p
f,g,f,f,f,c,b,p,e,b,k,k,b,n,o,l,h,y,g,p
k,e,f,f,f,c,n,b,t,?,s,k,p,p,o,e,w,v,d,p
x,g,t,n,f,c,b,p,t,b,s,s,p,g,o,p,k,v,d,e
f,n,f,n,a,c,b,y,e,?,s,s,o,o,o,p,b,v,l,e
f,g,f,f,f,c,b,h,e,b,k,k,n,n,o,l,h,y,d,p
f,n,f,f,f,c,n,b,t,?,s,s,w,w,o,e,w,v,p,p
x,e,t,n,f,c,b,w,t,b,s,s,p,p,o,p,n,v,d,e
k,n,f,f,f,c,n,b,t,?,k,k,p,p,o,e,w,v,p,p
f,n,t,n,f,c,b,w,t,b,s,s,g,g,o,p,n,y,d,e
f,n,f,n,a,c,b,o,e,?,s,s,o,o,o,p,y,v,l,e
f,c,f,n,f,w,n,w,e,b,f,f,w,n,o,e,w,v,l,e
f,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,s,u,p
f,g,t,n,f,c,b,w,t,b,s,s,p,p,o,p,n,y,d,e
x,g,f,f,f,c,b,p,e,b,k,k,b,b,o,l,h,v,d,p
x,n,t,l,f,c,b,p,e,r,s,y,w,w,o,p,k,y,p,e
x,g,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g,e
x,n,f,n,a,c,b,o,e,?,s,s,o,o,o,p,n,c,l,e
x,g,f,f,f,c,b,h,e,b,k,k,n,n,o,l,h,v,d,p
f,g,f,n,f,w,b,p,t,e,f,f,w,w,o,e,n,a,g,e
x,n,f,y,f,c,n,b,t,?,k,k,p,p,o,e,w,v,p,p
x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,v,g,p
x,w,t,f,f,c,b,h,t,b,s,s,w,w,o,p,h,s,g,p
k,w,f,n,f,w,b,g,e,?,k,k,w,w,t,p,w,n,g,e
x,g,t,n,f,c,b,p,t,b,s,s,w,w,o,p,k,y,d,e
k,e,f,s,f,c,n,b,t,?,k,k,w,w,o,e,w,v,p,p
x,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,g,p
f,g,t,n,f,c,b,w,t,b,s,s,p,w,o,p,n,y,d,e
f,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u,p
f,g,t,n,f,c,b,p,t,b,s,s,g,p,o,p,k,y,d,e
x,y,f,f,f,c,b,p,e,b,k,k,n,b,o,l,h,v,p,p
f,n,f,f,f,c,n,b,t,?,s,k,w,w,o,e,w,v,p,p
f,e,f,f,f,c,n,b,t,?,s,s,p,p,o,e,w,v,l,p
f,y,f,f,f,c,b,g,e,b,k,k,n,b,o,l,h,y,d,p
x,e,f,y,f,c,n,b,t,?,s,k,w,p,o,e,w,v,l,p
x,g,t,n,f,c,b,w,e,b,s,s,w,w,t,p,w,v,p,e
f,y,f,f,f,c,b,p,e,b,k,k,n,b,o,l,h,v,d,p
x,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,n,g,e
x,e,t,n,f,c,b,n,t,b,s,s,w,w,o,p,k,v,d,e
x,n,f,n,f,w,b,n,t,e,f,s,w,w,o,e,n,s,g,e
f,g,f,f,f,c,b,g,e,b,k,k,p,p,o,l,h,v,g,p
x,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,g,e
x,n,t,n,f,c,b,u,t,b,s,s,w,g,o,p,n,v,d,e
k,w,f,n,f,w,b,g,e,?,k,k,w,w,t,p,w,s,g,e
x,n,f,f,f,c,n,b,t,?,k,s,p,w,o,e,w,v,l,p
f,e,f,y,f,c,n,b,t,?,k,k,p,w,o,e,w,v,p,p
f,g,f,f,f,c,b,h,e,b,k,k,p,n,o,l,h,v,g,p
k,n,f,f,f,c,n,b,t,?,k,s,w,p,o,e,w,v,d,p
b,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m,e
x,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,a,g,e
f,y,f,f,f,c,b,h,e,b,k,k,n,b,o,l,h,v,d,p
k,n,f,f,f,c,n,b,t,?,k,s,p,w,o,e,w,v,l,p
x,y,f,f,f,c,b,g,e,b,k,k,n,p,o,l,h,y,p,p
f,n,t,n,f,c,b,w,t,b,s,s,w,p,o,p,k,y,d,e
k,n,t,n,f,c,b,w,e,?,s,s,e,w,t,e,w,c,w,e
k,n,f,y,f,c,n,b,t,?,k,s,w,p,o,e,w,v,l,p
b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,n,g,e
x,n,f,n,f,w,b,k,t,e,s,f,w,w,o,e,k,a,g,e
x,g,f,f,f,c,b,p,e,b,k,k,p,b,o,l,h,v,g,p
x,g,f,n,f,w,b,w,e,?,k,s,w,w,t,p,w,n,g,e
f,g,f,f,f,c,b,p,e,b,k,k,b,p,o,l,h,y,d,p
x,e,t,n,f,c,b,w,t,b,s,s,p,w,o,p,k,v,d,e
x,u,f,n,f,c,n,p,e,?,s,f,w,w,o,f,h,v,d,e
f,w,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,a,g,e
f,e,f,y,f,c,n,b,t,?,s,k,w,w,o,e,w,v,p,p
x,b,t,f,f,c,b,w,t,b,f,s,w,w,o,p,h,s,g,p
k,e,f,s,f,c,n,b,t,?,k,k,w,p,o,e,w,v,p,p
b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m,e
x,n,f,n,a,c,b,y,e,?,s,s,o,o,o,p,b,v,l,e
f,n,f,y,f,c,n,b,t,?,k,k,p,p,o,e,w,v,l,p
x,g,f,n,f,w,b,g,e,?,s,s,w,w,t,p,w,n,g,e
f,g,t,f,f,c,b,w,t,b,s,f,w,w,o,p,h,v,g,p
f,n,t,n,f,c,b,w,t,b,s,s,p,p,o,p,k,y,d,e
k,n,f,y,f,c,n,b,t,?,k,s,w,p,o,e,w,v,d,p
f,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,s,p,e
f,n,f,s,f,c,n,b,t,?,k,k,p,w,o,e,w,v,p,p
f,g,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g,e
x,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,n,s,p,e
f,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,s,g,p
x,e,f,y,f,c,n,b,t,?,k,k,w,w,o,e,w,v,l,p
k,n,f,f,f,c,n,b,t,?,s,k,w,w,o,e,w,v,p,p
x,g,f,c,f,w,n,n,e,b,s,s,w,w,o,p,n,s,d,p
f,n,t,n,f,c,b,w,e,?,s,s,e,w,t,e,w,c,w,e
f,p,t,n,f,c,b,g,e,b,s,s,w,w,t,p,r,v,g,p
x,p,t,n,f,c,b,e,e,?,s,s,w,w,t,e,w,c,w,e
f,n,f,s,f,c,n,b,t,?,s,s,w,p,o,e,w,v,l,p
x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,s,u,p
x,n,t,n,f,c,b,w,t,b,s,s,p,w,o,p,n,v,d,e
x,g,t,n,f,c,b,p,t,b,s,s,g,w,o,p,n,v,d,e
x,g,t,n,f,c,b,u,t,b,s,s,g,w,o,p,n,y,d,e
